2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
25,50,50.5,44.5,53.5,49,54,66,59,68,54,62,68,69,61,62,70,72
24,31,26,30.5,38,37,52,63,59,64.5,43,53,52.25,51,56,60,53,60
22,23.5,25.5,29.5,32,32,37,49,42,55,37,45,51,50,44,35.5,42,48
